Len, Countries
32,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;France;Belgium;Colombia;Philippines;Ethiopia
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Poland;Bulgaria;Mexico;Haiti;Syria;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Nicaragua;Kingdom of Italy;British Empire;Argentina;Paraguay;Bolivia;Peru
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;El Salvador;Poland;Bulgaria;Mexico;Haiti;Syria;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Nicaragua;Kingdom of Italy;British Empire;Argentina;Paraguay;Bolivia;Ecuador
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;Honduras;Syria;Kingdom of Italy;Argentina;Paraguay;Bolivia;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Haiti;Nicaragua;British Empire;Peru;Poland;Bulgaria
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Norway;Albania;Honduras;Syria;Kingdom of Italy;Argentina;Paraguay;Bolivia;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Saudi Arabia;Lebanon;Uruguay;Haiti;Nicaragua;British Empire;Ecuador;Poland;Bulgaria
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;El Salvador;Colombia;Ethiopia;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Peru
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;El Salvador;Colombia;Ethiopia;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Ecuador
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;El Salvador;Poland;Bulgaria;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Peru
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;El Salvador;Poland;Bulgaria;British Empire;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;Kingdom of Italy;Argentina;Paraguay;Bolivia;Ecuador
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;Honduras;Kingdom of Italy;Argentina;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;British Empire;Paraguay;Bolivia;Peru;Colombia;Ethiopia
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;Honduras;Kingdom of Italy;Argentina;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;British Empire;Paraguay;Bolivia;Peru;Poland;Bulgaria
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;Honduras;Kingdom of Italy;Argentina;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;British Empire;Paraguay;Bolivia;Ecuador;Colombia;Ethiopia
31,;United States;Canada;France;Australia;New Zealand;Belgium;Denmark;Turkey;Luxembourg;Egypt;Syria;Saudi Arabia;Albania;Honduras;Kingdom of Italy;Argentina;Mexico;Brazil;Guatemala;Costa Rica;Venezuela;Lebanon;Haiti;Uruguay;Nicaragua;British Empire;Paraguay;Bolivia;Ecuador;Poland;Bulgaria
31,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;El Salvador;Peru;Colombia;Philippines;Ethiopia
31,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;El Salvador;Ecuador;Colombia;Philippines;Ethiopia
31,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;Honduras;Peru;Colombia;Philippines;Ethiopia
31,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;Honduras;Ecuador;Colombia;Philippines;Ethiopia
31,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Norway;Colombia;Philippines;Ethiopia
31,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Norway;Colombia;Philippines;Ethiopia
31,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Norway;Colombia;Philippines;Ethiopia
31,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Norway;Colombia;Philippines;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;Liberia;Colombia;Philippines;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;Liberia;Colombia;Philippines;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;France;Belgium;Colombia;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;France;Belgium;Colombia;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;Liberia;Colombia;Philippines;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;Liberia;Colombia;Philippines;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;France;Belgium;Colombia;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;France;Belgium;Poland;Bulgaria
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;France;Belgium;Colombia;Ethiopia
31,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;France;Belgium;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;El Salvador;Peru;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;El Salvador;Ecuador;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;Honduras;Peru;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Norway;Honduras;Ecuador;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;El Salvador;Peru;Colombia;Ethiopia
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;El Salvador;Peru;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;El Salvador;Ecuador;Colombia;Ethiopia
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;El Salvador;Ecuador;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;Honduras;Peru;Colombia;Ethiopia
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;Honduras;Peru;Poland;Bulgaria
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;Honduras;Ecuador;Colombia;Ethiopia
30,;United States;Canada;Liberia;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;British Empire;Kingdom of Italy;Brazil;Syria;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Guatemala;Costa Rica;Saudi Arabia;Lebanon;Haiti;Nicaragua;Egypt;Honduras;Ecuador;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Norway;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Egypt;Colombia;Ethiopia
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Egypt;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Norway;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Egypt;Colombia;Ethiopia
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Peru;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Egypt;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Norway;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Egypt;Colombia;Ethiopia
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;El Salvador;Albania;Denmark;New Zealand;Turkey;Australia;Luxembourg;Kingdom of Italy;Egypt;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Norway;Poland;Bulgaria
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Egypt;Colombia;Ethiopia
30,;Cuba;Syria;Saudi Arabia;France;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Panama;Lebanon;Nicaragua;Haiti;British Empire;Ecuador;Honduras;Kingdom of Italy;Denmark;New Zealand;Turkey;Australia;Luxembourg;Albania;Egypt;Poland;Bulgaria
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;Liberia;Poland;Bulgaria
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;Honduras;Liberia;Poland;Bulgaria
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;Liberia;Colombia;Ethiopia
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;El Salvador;Liberia;Poland;Bulgaria
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;Liberia;Colombia;Ethiopia
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Peru;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Egypt;Honduras;Liberia;Poland;Bulgaria
30,;Panama;Kingdom of Italy;Argentina;Paraguay;Bolivia;Uruguay;Venezuela;Mexico;Brazil;Guatemala;Costa Rica;Lebanon;Nicaragua;Haiti;British Empire;Syria;Saudi Arabia;Canada;Ecuador;Australia;Denmark;Turkey;New Zealand;Luxembourg;Albania;Norway;El Salvador;Liberia;Poland;Bulgaria
